Year,GP,NYSE,CPI
1974 ,159.26 ,463.54 ,49.30 
1975 ,161.02 ,483.55 ,53.80 
1976 ,124.84 ,575.85 ,56.90 
1977 ,147.71 ,567.66 ,60.60 
1978 ,193.22 ,567.81 ,65.20 
1979 ,306.68 ,616.68 ,72.60 
1980 ,612.56 ,720.15 ,82.40 
1981 ,460.03 ,782.62 ,90.90 
1982 ,375.67 ,728.84 ,96.50 
1983 ,424.35 ,979.52 ,99.60 
1984 ,360.48 ,977.33 ,103.90 
1985 ,317.26 ,1142.97 ,107.60 
1986 ,367.66 ,1438.02 ,109.60 
1987 ,446.46 ,1709.79 ,113.60 
1988 ,436.94 ,1585.14 ,118.30 
1989 ,381.44 ,1903.36 ,124.00 
1990 ,383.51 ,1939.47 ,130.70 
1991 ,362.11 ,2181.72 ,136.20 
1992 ,343.82 ,2421.51 ,140.30 
1993 ,359.77 ,2638.96 ,144.50 
1994 ,384.00 ,2687.02 ,148.20 
1995 ,384.17 ,3078.56 ,152.40 
1996 ,387.77 ,3787.20 ,156.90 
1997 ,331.02 ,4827.35 ,160.50 
1998 ,294.24 ,5818.26 ,163.00 
1999 ,278.88 ,6546.81 ,166.60 
2000 ,279.11 ,6805.89 ,172.20 
2001 ,274.04 ,6397.85 ,177.10 
2002 ,309.73 ,5578.89 ,179.90 
2003 ,363.38 ,5447.46 ,184.00 
2004,409.72 ,6612.62 ,188.90 
2005,444.74 ,7349.00 ,195.30 
2006,603.46 ,8357.99 ,201.60 
